level,order,title,author,publisher
5A,1,くもんのうた 200 えほん,,くもん出版
5A,2,どうぶつのおやこ,藪内正幸,福音館書店
5A,3,あかちゃんのほん 第１集,まついのりこ,偕成社
5A,4,いないいないばあ,松谷みよ子 瀬川康男・絵,童心社
5A,5,くだもの,平山和子,福音館書店
5A,6,あがりめさがりめ,ましませつこ,こぐま社
5A,7,じどうしゃ,寺島龍一,福音館書店
5A,8,じのないえほん,ブルーナ いしいももこ・訳,福音館書店
5A,9,じゃあじゃあびりびり,まついのりこ,偕成社
5A,10,バナナです,川端誠,文化出版局
5A,11,かぞえてみよう,安野光雅,講談社
5A,12,おひさまあはは,前川かずお,こぐま社
5A,13,だるまさんが,かがくいひろし,ブロンズ新社
5A,14,のびのびのーん,川上隆子,アリス館
5A,15,もこ もこもこ,たにかわしゅんたろう もとながさだまさ・絵,文研出版
5A,16,かおかおどんなかお,柳原良平,こぐま社
5A,17,ねこがいっぱい,スカール やぶきみちこ・訳,福音館書店
5A,18,やさい,平山和子,福音館書店
5A,19,ぴょーん,まつおかたつひで,ポプラ社
5A,20,ぎったんばっこん,なかえよしを 上野紀子・絵,文化出版局
5A,21,こんにちは,わたなべしげお おおともやすお・絵,福音館書店
5A,22,くっついた,三浦太郎,こぐま社
5A,23,がたんごとんがたんごとん,安西水丸,福音館書店
5A,24,きゅっきゅっきゅっ,林明子,福音館書店
5A,25,みんなうんち,五味太郎,福音館書店
5A,26,くまさんくまさんなにみてるの？,マーチン カール・絵,偕成社
5A,27,コロちゃんはどこ？,ヒル,評論社
5A,28,おやすみ,なかがわりえこ やまわきゆりこ・絵,グランまま社
5A,29,いやだいやだの絵本,せなけいこ,福音館書店
5A,30,あーんあんの絵本,せなけいこ,福音館書店
5A,31,きんぎょがにげた,五味太郎,福音館書店
5A,32,たまごのあかちゃん,かんざわとしこ やぎゅうげんいちろう・絵,福音館書店
5A,33,ゆうたはともだち,きたやまようこ,あかね書房
5A,34,りんごがドスーン,多田ヒロシ,文研出版
5A,35,どうすればいいのかな？,わたなべしげお おおともやすお・絵,福音館書店
5A,36,ぞうくんのさんぽ,なかのひろたか なかのまさたか・レタリング,福音館書店
5A,37,しろくまちゃんのほっとけーき,わかやまけん,こぐま社
5A,38,おやすみなさいコッコさん,片山健,福音館書店
5A,39,このいろなあに,せなけいこ,金の星社
5A,40,うしろにいるのだあれ,accototo （ふくだとしお＋あきこ）,幻冬舎
5A,41,かにこちゃん,きしだえりこ ほりうちせいいち・絵,くもん出版
5A,42,いろいろたまご,山岡ひかる,くもん出版
5A,43,おふろでちゃぷちゃぷ,松谷みよ子 岩崎ちひろ・絵,童心社
5A,44,もしもしおでんわ,松谷みよ子 岩崎ちひろ・絵,童心社
5A,45,さんぽのしるし,五味太郎,福音館書店
5A,46,トイレいけるかな,わらべきみか,ひさかたチャイルド
5A,47,のってのって,くろいけん,あかね書房
5A,48,こぐまちゃんのうんてんしゅ,わかやまけん,こぐま社
5A,49,こいぬのくんくん,ブルーナ まつおかきょうこ・訳,福音館書店
5A,50,とけいのえほん,とだこうしろう,戸田デザイン研究室
4A,1,ねずみくんのチョッキ,なかえよしを 上野紀子・絵,ポプラ社
4A,2,あかいふうせん,マリ,ほるぷ出版
4A,3,かさ,太田大八,文研出版
4A,4,はるにれ,姉崎一馬・写真,福音館書店
4A,5,あいうえおの本,安野光雅,福音館書店
4A,6,るるるるる,五味太郎,偕成社
4A,7,いいおかお,松谷みよ子 瀬川康男・絵,童心社
4A,8,サンドイッチ サンドイッチ,小西英子,福音館書店
4A,9,でんしゃ,バートン,金の星社
4A,10,とりかえっこ,さとうわきこ 二俣英五郎・絵,ポプラ社
4A,11,ぶたたぬききつねねこ,馬場のぼる,こぐま社
4A,12,ロージーのおさんぽ,ハッチンス わたなべしげお・訳,偕成社
4A,13,どんどこももんちゃん,とよたかずひこ,童心社
4A,14,なつのあさ,谷内こうた,至光社
4A,15,あくび,中川ひろたか 飯野和好・絵,文溪堂
4A,16,1，2，3どうぶつえんへ,カール,偕成社
4A,17,わにさんどきっはいしゃさんどきっ,五味太郎,偕成社
4A,18,タンタンのぼうし,いわむらかずお,偕成社
4A,19,でんぐりでんぐり,くろいけん,あかね書房
4A,20,いたずらこねこ,クック シャーリップ・絵,福音館書店
4A,21,いたいいたいはとんでいけ,松谷みよ子 佐野洋子・絵,偕成社
4A,22,きょうはみんなでクマがりだ,ローゼン・再話 オクセンバリー・絵,評論社
4A,23,はなをくんくん,クラウス シーモント・絵,福音館書店
